term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.4650510276922786,0.05333963236015039,-8.718677034596784,4.2228595782080236e-18,-0.4650510276922786,-0.5695967071181733,-0.3605053482663838
profile1,0.13134300198763127,0.4057288931576652,0.32372109603885596,0.7461679813243107,0.018242352663245375,-0.7769862779257783,0.8134709832522691
profile3,-0.14644873945913542,0.24696157259689366,-0.5930021335674693,0.5532169323397462,-0.02947485634934532,-0.5135195386392569,0.4545698259405663
profile4,0.5697197533184699,0.24145650120289083,2.359512999154023,0.018351977682102012,0.12121122381022355,-0.3520435185474425,0.5944659661678896
age,0.08727277190066804,0.01642672262793362,5.312853566557507,1.1446093168763654e-7,0.08890373216853549,0.0567073558177856,0.12110010851928538
sex,0.2646219627353497,0.03355211841927458,7.886892846185628,4.073940496242919e-15,0.13523278176405926,0.06947062966228108,0.20099493386583744
fas,-0.049488612903618015,0.01596999791860659,-3.098849051568066,0.0019577162407414385,-0.05034973878364749,-0.08165093470411641,-0.01904854286317858
profile1:sex,-0.04776810332351391,0.2403712576178327,-0.19872635271335404,0.8424880180245538,-0.011215089352843597,-0.4823427542837957,0.4599125755781085
profile3:sex,0.44505632294054975,0.16315466732798087,2.7278185186445048,0.006406369778298401,0.13537973276030782,-0.1844034152025347,0.45516288072315036
profile4:sex,-0.10309492648635074,0.15278436126468536,-0.6747740778766481,0.49986259508730524,-0.03476311191976596,-0.33422045999854927,0.2646942361590174
