term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.32021280792239043,0.054969604043875145,5.825270410658331,6.1966147049172575e-9,0.32021280792239043,0.21247238399639515,0.42795323184838574
profile1,-0.2433259760167401,0.42076753716990806,-0.5782907532585715,0.5631036111752271,-0.03282320680986316,-0.857527579662883,0.7918811660431566
profile3,-0.14974576707450704,0.2533337261322048,-0.5911007956215063,0.5544895887980785,-0.029465836273716798,-0.5259999394928382,0.4670682669454046
profile4,0.10897263979638229,0.2497794263404279,0.4362754827047362,0.662662741738375,0.022650921589471674,-0.466916754037767,0.5122185972167104
age,-0.0352762197291794,0.016919750358334238,-2.084913724025676,0.03714665740738211,-0.035098247263491915,-0.06826095796582701,-0.0019355365611568101
sex,-0.20426097320133565,0.03462431845349296,-5.8993500038332005,3.982522383713202e-9,-0.10188200264488913,-0.16974566681373532,-0.03401833847604292
fas,0.05098925097406419,0.01643301454742167,3.102854368376639,0.0019313378391055743,0.05077387866000306,0.018565170147056588,0.08298258717294954
profile1:sex,-0.041300371953982035,0.24928489728352268,-0.16567538749453123,0.8684216169862548,-0.009417461875078444,-0.4980158605507829,0.47918093680062596
profile3:sex,-0.25040021113004163,0.16877135978448413,-1.4836653058302964,0.137984313859964,-0.07385398678887872,-0.40464585196646763,0.2569378783887102
profile4:sex,-0.1346201237017391,0.15750887890715015,-0.8546827622403195,0.39278304332928804,-0.04450790162618049,-0.3532253042841948,0.26420950103183377
