term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.2729262699833562,0.028730195037000673,-9.499631646491206,2.3738858443104336e-21,-0.2729262699833562,-0.32923745225587747,-0.21661508771083485
profile2,0.4475852710798978,0.07122871166236568,6.283776031237464,3.383269240585779e-10,0.09966190655479584,-0.03994636830344089,0.23927018141303258
profile3,0.1556438996201234,0.07488980008574107,2.0783057164250303,0.03769588028924122,0.03227937570981936,-0.11450463245823314,0.17906338387787188
profile4,0.35327476706924255,0.10142078759349944,3.483257973554582,4.965720404008087e-4,0.05892329058109053,-0.13986145310216838,0.25770803426434946
surveyyear2010,-0.2684150116875086,0.02322699134151834,-11.556167897118714,8.907310456945103e-31,-0.12018546079506631,-0.16571036382444226,-0.07466055776569036
surveyyear2014,-0.22443154491919615,0.022739673772924317,-9.869602667142146,6.480031588289085e-23,-0.10377749143655451,-0.1483472520314862,-0.059207730841622855
surveyyear2018,-0.1401775167148329,0.025055610210982925,-5.5946558688635415,2.2439988713523757e-8,-0.056580077070675944,-0.10568907308420247,-0.007471081057149415
age,0.08259956473822734,0.007684654377594621,10.748637567755114,7.308401915667687e-27,0.08218984493221881,0.06712792235213336,0.09725176751230427
sex,0.26066077012839384,0.014755627499610591,17.665176905236514,3.1414326337393873e-69,0.13036291462101673,0.10144188472177998,0.1592839445202535
fas,-0.030643525189868546,0.007705884896692266,-3.9766393607854447,7.017963253906095e-5,-0.030506126467093397,-0.04560966086461024,-0.015402592069576556
profile2:surveyyear2010,0.07656605162313887,0.09199877572185425,0.8322507666256982,0.4052788741619914,0.009824378688864457,-0.17049322172596987,0.1901419791036988
profile3:surveyyear2010,0.26544120836326607,0.09892714149690784,2.683199012391993,0.00729907574721368,0.030773720119980325,-0.16312347721395903,0.2246709174539197
profile4:surveyyear2010,0.012411260814599251,0.12406897722810814,0.10003516666201266,0.9203175628330054,0.0012961584506738033,-0.24187903691641816,0.24447135381776575
profile2:surveyyear2014,0.23591001113939306,0.0929777951380144,2.5372725906138442,0.011180676502480742,0.029331178331485457,-0.15290530013902273,0.21156765680199366
profile3:surveyyear2014,0.295921983372771,0.10211466267938804,2.8979382158063296,0.003760949408889858,0.031771612957748475,-0.1683731258938521,0.23191635180934903
profile4:surveyyear2014,0.11429871822594462,0.13042652172563768,0.8763456750489816,0.3808542800300253,0.010342870641426536,-0.24529311194082332,0.26597885322367637
profile2:surveyyear2018,0.06662960599118989,0.10844631745530367,0.6144017386173707,0.5389579473817575,0.006070965090669132,-0.20648381712172606,0.2186257473030643
profile3:surveyyear2018,0.18994153395594973,0.1075217438014764,1.7665406757785638,0.07732277223040435,0.01845083366634543,-0.19229178418454831,0.22919345151723916
profile4:surveyyear2018,0.010885828087127484,0.15598718413106905,0.06978668246219902,0.9443642518309263,6.807559736416491e-4,-0.3050541249232537,0.30641563687053697
