term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.7246567661510849,0.02869193480921742,25.25646217202074,2.957362600757743e-138,0.7246567661510849,0.6684205739250187,0.780892958377151
profile2,-0.20644197290429725,0.07279418932643462,-2.835967744328317,0.004573981332037299,-0.045795814044621214,-0.18847242512443307,0.09688079703519065
profile3,-0.04699476092837717,0.0757476181684465,-0.6204123913688069,0.5349944465089622,-0.009743006208128667,-0.1582083378182838,0.13872232540202645
profile4,-0.21378375118271012,0.10169548124569192,-2.102195186688952,0.035550522529572234,-0.035639775184005476,-0.2349629184255616,0.16368336805755068
surveyyear2010,-0.3924599924431441,0.0232000104610865,-16.916371356875867,1.1009285807785809e-63,-0.17639951639100773,-0.22187153689473726,-0.1309274958872782
surveyyear2014,-0.37280245026240133,0.022772415985399714,-16.370790455497545,8.657642410863619e-60,-0.1724302271655616,-0.21706416249694505,-0.12779629183417818
surveyyear2018,-0.5256328296455015,0.0248427084265547,-21.1584349266703,3.970901910996256e-98,-0.21482416725128917,-0.26351587576733637,-0.16613245873524196
age,-0.04804123662185818,0.007651261698232125,-6.278864652212644,3.491398555737587e-10,-0.04794511598881631,-0.06294158891735127,-0.03294864306028135
sex,-0.22582814700862783,0.014693392692920306,-15.369367152178425,5.856995619765685e-53,-0.11327244062776119,-0.142071490305885,-0.08447339094963739
fas,0.04809916355870444,0.007643142443869125,6.293113586714157,3.1860361970932104e-10,0.04815001047462251,0.03316945128463902,0.06313056966460599
profile2:surveyyear2010,-0.2955114884669551,0.09304500485336423,-3.1760059439265027,0.0014957858285245809,-0.03803716688902688,-0.22040537640162078,0.144331042623567
profile3:surveyyear2010,-0.13661327967241157,0.09944703360334461,-1.3737290567892513,0.16954352012809398,-0.015861081296444285,-0.21077726715899972,0.17905510456611115
profile4:surveyyear2010,-0.07157139606852972,0.12417632106358119,-0.5763691133342844,0.5643731762444135,-0.0074852844911606695,-0.25087087377577977,0.23590030479345844
profile2:surveyyear2014,-0.20442360937112747,0.0943553440581497,-2.1665292137045724,0.03028430683649592,-0.025268375009020835,-0.21020484936299427,0.15966809934495257
profile3:surveyyear2014,-0.32833750802362144,0.10250188782342257,-3.2032337647209017,0.0013613846159333841,-0.035389079226502924,-0.23629277936041115,0.16551462090740532
profile4:surveyyear2014,-0.03232898329235681,0.13067905796212265,-0.24739222792474808,0.8046076091038841,-0.002919479637991738,-0.2590504332437521,0.25321147396776866
profile2:surveyyear2018,-0.2757682399009381,0.10867403363890447,-2.537572506209203,0.011171080459193027,-0.025419609134003138,-0.2384207150662559,0.18758149679824965
profile3:surveyyear2018,-0.03758701896744384,0.10776392263283974,-0.34879037482243297,0.7272509126010964,-0.003667407158388828,-0.21488469551875472,0.20754988120197704
profile4:surveyyear2018,-0.07651794321916527,0.15589677487635836,-0.4908244142949821,0.6235568341761681,-0.004791986659949266,-0.31034966541761166,0.3007656920977131
