term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3708625453628007,0.025601434957412617,14.486006193782568,2.799061542302007e-47,0.3708625453628007,0.320683732846272,0.42104135787932945
profile2,-0.09882595605845472,0.10347636872303187,-0.9550582154943551,0.33956152673976336,-0.021922940585987254,-0.2247366232831297,0.1808907421111552
profile3,-0.13395942789803858,0.11511244160447798,-1.1637267529978916,0.2445507221157048,-0.027772617880471993,-0.25339300342524884,0.19784776766430484
profile4,-0.3087862004157791,0.14834885357892857,-2.0814869341170223,0.0374039427608264,-0.05147758284649122,-0.3422413358611912,0.23928617016820874
age,-0.05574591878532538,0.007760484239989982,-7.183304167807619,7.079871785545557e-13,-0.05563438266802427,-0.07084493177840463,-0.04042383355764391
sex,-0.2128078778609554,0.01595931127488243,-13.334402355813637,2.3044433527752832e-40,-0.10674164416362136,-0.13802189426239092,-0.0754613940648518
fas,-0.0014769221269009755,0.0074810291052712094,-0.19742232066178184,0.8434993701410671,-0.0014784834208954626,-0.016141300467227032,0.013184333625436109
profile2:sex,-0.20921749568858736,0.06828687788061975,-3.063802331896691,0.0021887741206467596,-0.07016546743393764,-0.20400774807995237,0.06367681321207708
profile3:sex,-0.024480233038762865,0.07227719043165413,-0.33869928939630767,0.7348403631889912,-0.008095797699918849,-0.14975909094596096,0.13356749554612324
profile4:sex,0.03459368463843193,0.09050478800405339,0.3822304366580319,0.7022951160067632,0.00946830735322785,-0.1679210771347168,0.18685769184117249
