term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.4630391066944299,0.04946820563839841,-9.360337629368303,1.1639785821970631e-20,-0.4630391066944299,-0.5599967897456908,-0.366081423643169
profile1,0.7686117803812939,0.19875864090255307,3.867060958412002,1.1152985307875413e-4,0.16044928579919387,-0.22911765036981013,0.5500162219681979
profile2,0.528409935478214,0.11239617103554891,4.701316162372536,2.653175049134553e-6,0.2070690761384639,-0.013227419091211973,0.4273655713681398
profile4,0.30593283119018133,0.19344300459893984,1.581514057975183,0.11382271539766478,0.06591178497323669,-0.3132365040406854,0.4450600739871588
age,0.06526954944114934,0.014012386030714238,4.657989674141344,3.2744866839297316e-6,0.06518185680237149,0.03771758018217158,0.09264613342257139
sex,0.1943280801484565,0.03142821780315293,6.183235758566024,6.770426954710156e-10,0.09711045004490702,0.03551114315072729,0.15870975693908676
fas,5.761652899711895e-4,0.013315676858165253,0.04326969602133905,0.9654882458935216,5.75611079167777e-4,-0.025523115562836117,0.02667433772117167
profile1:sex,-0.29507242020010904,0.1285297426396321,-2.2957520503828004,0.021730547697784104,-0.09496098547178775,-0.3468792810454666,0.15695731010189115
profile2:sex,0.11499281500087533,0.0690140978157301,1.6662221001267001,0.09573075244591121,0.0747891252052876,-0.06047850651354339,0.2100567569241186
profile4:sex,0.09894379841933101,0.12432088985941102,0.7958742776955842,0.4261422494964301,0.033178090742295906,-0.21049085338214968,0.2768470348667415
