term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.11420892269336548,0.04755194135915066,2.4017720292588574,0.016349981224836482,0.11420892269336548,0.02100711762943018,0.2074107277573008
profile2,-0.25882938555221696,0.13051169062142542,-1.9831892784455762,0.04739766709695455,-0.08794476891587777,-0.3437476825338716,0.16785814470211607
profile3,0.040459711884240836,0.18933152928654173,0.21369769756102022,0.8307910021829161,0.008856859573421536,-0.36223293782820026,0.3799466569750433
profile4,0.13465765824632023,0.18130214256409724,0.7427251346393416,0.45768092714763,0.03093650015957826,-0.3244156992660523,0.38628869958520884
age,-0.12157631186537494,0.01403394474181228,-8.663017711845082,6.014667900744468e-18,-0.12126497812737497,-0.14877150982132703,-0.0937584464334229
sex,-0.013008709570047426,0.030411853014579774,-0.4277512969634211,0.6688495254144834,-0.006501158318762621,-0.06610839022733898,0.053106073589813736
fas,0.11110485341009974,0.013294434504621247,8.357245535451609,8.111750750794248e-17,0.11083946094883941,0.08478236931978177,0.13689655257789707
profile2:sex,-0.1428978701120002,0.07946256384816039,-1.7983042981730872,0.0721855108536464,-0.08093051379003802,-0.23667713893243236,0.07481611135235633
profile3:sex,-0.27697936219853087,0.12189135407280133,-2.2723462570864625,0.023105366035577984,-0.09407366361757565,-0.33298071760026626,0.14483339036511494
profile4:sex,-0.2494941060410059,0.11604015531639766,-2.150066977769288,0.03159488962403571,-0.08961463854274251,-0.3170533429628819,0.1378240658773969
