term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6046868625689253,0.04016725046135295,-15.054225908510386,3.0380547154008836e-50,-0.6046868625689253,-0.6834146734731771,-0.5259590516646736
profile1,-0.672879579486802,0.3682236116342065,-1.827366736479791,0.06769749762790331,-0.06841537639309027,-0.790133655196135,0.6533029024099545
profile3,0.04274233460718258,0.24506427762801877,0.17441275007882157,0.861547359274152,0.006668796858886602,-0.47365718729203016,0.48699478100980337
profile4,-0.5009994032479064,0.23719876232701895,-2.112150157669007,0.0347174500872283,-0.08210823384603737,-0.5470178080069945,0.38280134031491975
age,0.22547368158572761,0.012723994077140536,17.72035417642998,2.0371455435506033e-68,0.22523700093961105,0.2002979725484156,0.2501760293308065
sex,0.37749454146575256,0.02551718280314448,14.793738963191263,1.3000336345061424e-48,0.18869804509238258,0.1386843667982194,0.23871172338654575
fas,-0.010686164798552427,0.012377301488540198,-0.8633679003817151,0.38797196089290475,-0.010665654547208527,-0.03492516546474732,0.013593856370330263
profile1:sex,0.8382950097205949,0.2469222752726243,3.3949752358107106,6.910868799131761e-4,0.12707846855871666,-0.356889190975627,0.6110461280930602
profile3:sex,0.4862402225329303,0.15872834202642827,3.063348462695914,0.0021990850790687545,0.11726796304264689,-0.1938395873291525,0.42837551341444624
profile4:sex,0.7672203453445746,0.15065203980885697,5.092664834263127,3.64548955867291e-7,0.19832781142704936,-0.09695018659831028,0.493605809452409
