term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.47582549108429234,0.02515545222575867,18.9154019897546,3.0763275368045465e-79,0.47582549108429234,0.42652080472180537,0.5251301774467794
profile1,-0.1784906115722468,0.08583778053756454,-2.0793945329718224,0.037591343039550085,-0.03005699077837698,-0.19829904063200346,0.1381850590752495
profile2,-0.22227377108151228,0.09320298090983424,-2.3848354302803125,0.017094224141930625,-0.030910704255598026,-0.21358854683887313,0.15176713832767708
profile4,-0.25670027514084187,0.060602826055164115,-4.235780603815056,2.2857937913714777e-5,-0.05263566871690815,-0.1714172077850298,0.06614587035121353
surveyyear2006,-0.04668940776137498,0.022115900967701205,-2.111123929771694,0.034771632077749415,-0.01885899346384294,-0.0622061593605373,0.024488172432851417
surveyyear2010,0.039821593317596236,0.02222144828271501,1.7920341109616842,0.07313967768543485,0.016430868798414457,-0.02712316983570696,0.05998490743253587
surveyyear2014,-0.04377077257002782,0.022755430156175732,-1.923530878986641,0.054424836437020875,-0.017315979849506804,-0.061916622955611234,0.02728466325659763
surveyyear2018,-0.11534037351344385,0.022350498670695718,-5.160527969099384,2.481495627280499e-7,-0.0484258475806073,-0.09223282497517091,-0.0046188701860436915
age,-0.11519997890041773,0.006492909580057371,-17.74242771749793,5.339934088932305e-70,-0.11526515537030467,-0.12799125814721712,-0.10253905259339222
sex,-0.2734865125733495,0.012360939833727507,-22.125058147045294,1.9838051829068772e-107,-0.13689877852479665,-0.16112622059890255,-0.11267133645069073
fas,0.05982696299141845,0.006556863235504602,9.124326807285358,7.75196521918108e-20,0.0598325500603761,0.046981098118787076,0.07268400200196512
profile1:surveyyear2006,-0.12455465844321527,0.11915632225157778,-1.0453046560151449,0.2958923660186491,-0.009400314671683658,-0.2429467062847761,0.2241460769414088
profile2:surveyyear2006,0.020346095068571757,0.13394680468341344,0.1518968303623237,0.8792695428261741,0.001315133293566976,-0.2612206038859234,0.26385087047305733
profile4:surveyyear2006,0.0631093747118081,0.08874839645984754,0.7111043943240223,0.4770262292591042,0.006076919852020979,-0.1678699372092802,0.18002377691332214
profile1:surveyyear2010,-0.011586760446636025,0.1135863342367581,-0.10200840201854486,0.9187508300363914,-9.728760620704211e-4,-0.2236020911661163,0.22165633904197546
profile2:surveyyear2010,-0.195921817508009,0.1273888239452033,-1.5379827793393037,0.1240655723608114,-0.014042649777231398,-0.2637247447098298,0.23563944515536703
profile4:surveyyear2010,-0.04172069043957539,0.08496340862839212,-0.4910430397402116,0.6234003482583829,-0.004377872563113336,-0.1709061534747619,0.16215040834853522
profile1:surveyyear2014,-0.18592814280262085,0.12556872418744267,-1.4806883163444162,0.1387023417282272,-0.012634833241939498,-0.2587495326493271,0.2334798661654481
profile2:surveyyear2014,-0.06688561719064821,0.14134344067728288,-0.4732134499496322,0.6360650644337367,-0.003910037632551546,-0.280943181360026,0.2731231060949229
profile4:surveyyear2014,-0.1720165871159732,0.09877621351571948,-1.7414778416121213,0.08161224278480375,-0.013732753999097118,-0.2073341324899073,0.17986862449171306
profile1:surveyyear2018,-0.3424341061430742,0.11632904114164477,-2.9436682601562834,0.003246478206112658,-0.027166468365032986,-0.25517138900265673,0.20083845227259078
profile2:surveyyear2018,-0.2793384583248667,0.15761579791752614,-1.7722744928844825,0.07636126752240932,-0.0136120452781742,-0.32253900919652545,0.295314918640177
profile4:surveyyear2018,-0.31415448289483316,0.10309511587896526,-3.047229543479575,0.0023120391084008943,-0.02337524700592075,-0.22544167412869268,0.17869118011685117
