term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.46072723767032103,0.020495509479948524,-22.479423510845958,8.39235448548521e-111,-0.46072723767032103,-0.5008984362510202,-0.4205560390896219
profile1,0.17298039516529015,0.11528105425864432,1.5005101773027831,0.13349499520448485,0.02920498738816831,-0.19674587895877454,0.2551558537351112
profile2,-0.13403360461406247,0.13740941489074615,-0.9754324674232273,0.32935527375545093,-0.018675386598848705,-0.28799783978471116,0.25064706658701374
profile4,0.05601164045741562,0.09357435033700846,0.5985789936632147,0.549459119696744,0.011484345522166102,-0.1719213811383705,0.19489007218270268
age,0.12306025880210071,0.006469611160260238,19.02127589336461,4.2160044411213935e-80,0.12318162049820792,0.11050118262409786,0.135862058372318
sex,0.2859343662790839,0.012939581442441905,22.097651887039984,3.582870861313318e-107,0.14321193439435786,0.11785035476717173,0.168573514021544
fas,0.012799729972773309,0.006172435739654724,2.073691896141037,0.03811820333953848,0.012813504336117013,7.155302863937531e-4,0.02491147838584027
profile1:sex,0.12467541251254238,0.07311505795784522,1.70519474366586,0.08817059976573909,0.03322250373397769,-0.11008300986339892,0.17652801733135431
profile2:sex,0.2861080718542853,0.08880028608439311,3.2219273661165553,0.0012749529636148723,0.06165437737225427,-0.11239418335315624,0.23570293809766477
profile4:sex,0.1946547805310948,0.060375516745312545,3.2240681492172483,0.0012654638445387294,0.061811195792289456,-0.05652481702852313,0.18014720861310204
