term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.41967097306620565,0.020581948329343278,20.390245196947124,1.150505228183329e-91,0.41967097306620565,0.37933035434069284,0.46001159179171847
profile1,-0.13768172490633038,0.11592068125133781,-1.1877235659770713,0.23495369563198484,-0.023184963620260606,-0.2503894988728827,0.2040195716323615
profile2,8.369303738157164e-4,0.1383104854645036,0.006051098519428656,0.9951719999834271,1.1638848408280086e-4,-0.2709721630263443,0.2712049399945099
profile4,-0.06311882730387995,0.09391687690258521,-0.6720711908824398,0.5015446281445,-0.012942337837168031,-0.19701941656623503,0.17113474089189898
age,-0.11582932575690724,0.006496258599023213,-17.83015931267322,1.1377633077000931e-70,-0.1158948582911514,-0.1286275251452369,-0.1031621914370659
sex,-0.26058552292088816,0.01299472706577971,-20.053173999099496,9.555158200073355e-89,-0.1304409473558489,-0.15591061240477713,-0.10497128230692068
fas,0.048011510753005485,0.006201581152443138,7.741817703069346,1.0173021805846257e-14,0.04801599441067295,0.0358608953518844,0.060171093469461506
profile1:sex,-0.11089421273148968,0.07358124439079614,-1.5070989033906692,0.13179802768982063,-0.02944815408909038,-0.1736673930950508,0.11477108491687005
profile2:sex,-0.2046653591693195,0.08927855892115064,-2.292435738687008,0.021888833873504675,-0.044071341615444515,-0.21905731710089976,0.13091463387001073
profile4:sex,-0.1643073714676186,0.060597360588518216,-2.7114608602070205,0.006703351973787078,-0.052177877021388874,-0.17094870377488458,0.06659294973210683
