term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.18520944072959997,0.02046462587610209,9.050223632276678,1.5296029872087624e-19,0.18520944072959997,0.14509877401243987,0.22532010744676007
profile1,0.07176152446572773,0.11501018918924333,0.6239579725205725,0.5326609656306255,0.012145911489358367,-0.21327405932155855,0.23756588230027528
profile2,0.4450402886962842,0.13837813677723795,3.2161170764476545,0.001301055616978011,0.06168572050964367,-0.20953542757374272,0.33290686859303004
profile4,0.047927158987679346,0.09364196996132979,0.5118128015404979,0.6087866192869792,0.009813915468224696,-0.1737243456559817,0.19335217659243106
age,-0.15645266115700623,0.006460151982024768,-24.218108427221583,4.51461835962676e-128,-0.15675425269583773,-0.16941615058060627,-0.1440923548110692
sex,-0.10504341188793456,0.012918807154214422,-8.131045740834278,4.454704880118205e-16,-0.052670790804586684,-0.07799165282684695,-0.027349928782326418
fas,0.13078562435692034,0.00617804244731642,21.169427933233155,1.3823600500039011e-98,0.13077150408505311,0.11866254088831293,0.1428804672817933
profile1:sex,-0.20371502351585954,0.07291302255814544,-2.793945667982758,0.0052109448881824845,-0.054440948744045946,-0.197350472958011,0.0884685754699191
profile2:sex,-0.513517059541261,0.08918717981968234,-5.757745234006548,8.625769327766997e-9,-0.11038061306847133,-0.2851874855150487,0.06442625937810606
profile4:sex,-0.25167463252700895,0.06044406610162573,-4.163760791735349,3.141126168815779e-5,-0.07978408670960611,-0.19825445626879257,0.038686282849580325
