term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3475899230794128,0.05542718913029133,6.2711086117382155,3.9227315694106996e-10,0.3475899230794128,0.2389526323840418,0.45622721377478376
profile1,0.012047231447772058,0.16821564490943355,0.07161778236654638,0.9429092828178398,0.0033611206509324707,-0.3263415433715573,0.33306378467342224
profile3,-0.16671761755031356,0.1420921758609105,-1.1733061059850904,0.2407354087410612,-0.052557954929753,-0.33105861961713756,0.22594270975763153
profile4,-0.0995880616254856,0.17423933449903525,-0.5715590105518741,0.5676494254091913,-0.02611159994509323,-0.3676206955632023,0.3153974956730159
age,-0.04429813174483262,0.016000660776338212,-2.768518898315795,0.005654311928806755,-0.044514008323379074,-0.07587530344500197,-0.013152713201756178
sex,-0.17160178451450803,0.03408394462457593,-5.034680885814375,4.974194988584953e-7,-0.08622168776958074,-0.15302621923374957,-0.01941715630541191
fas,0.08517081691915418,0.014640553540580557,5.817458792324926,6.39063709155603e-9,0.08523747983605486,0.05654199489651697,0.11393296477559274
profile1:sex,-0.21848446346436115,0.10528458561932831,-2.0751799722546607,0.03802675814714016,-0.09742881154648873,-0.3037865993603722,0.10892897626739474
profile3:sex,-0.004357404669738666,0.09886655314874739,-0.04407359750048971,0.9648477013726067,-0.0019422217036170215,-0.1957206658751619,0.19183622246792786
profile4:sex,-0.29183566197356503,0.11241916018858773,-2.5959601680354023,0.00946347730405983,-0.11790197235904153,-0.3382435263286735,0.10243958161059043
