term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.23206550887599198,0.04416535200656464,5.2544698124787566,1.5317907307312094e-7,0.23206550887599198,0.1455014189431253,0.31862959880885866
profile1,-0.008471973626168673,0.14146350437846808,-0.05988805143341393,0.952246638894187,-0.002234786369918667,-0.2795032549517161,0.2750336822118788
profile2,-0.056000834004827686,0.17572574024440227,-0.3186831589210596,0.7499770337596063,-0.011969254727635818,-0.3563917056066643,0.3324531961513926
profile3,0.3446474481021428,0.12193243248794594,2.8265445137922116,0.004719699794640743,0.10503084999507281,-0.13395671768130124,0.34401841767144686
age,-0.048558414100466456,0.013023993165904763,-3.7283814174278365,1.9435317855686084e-4,-0.04868191028947839,-0.07420893689465172,-0.02315488368430505
sex,-0.1035132133416478,0.027426004884062966,-3.7742724023869227,1.6190517067482595e-4,-0.051925905658971025,-0.10568087523173444,0.0018290639137923878
fas,0.07167538976586342,0.012258185696989714,5.84714504557269,5.243711333337053e-9,0.07087310952165833,0.046847065555558495,0.09489915348775817
profile1:sex,-0.2976983065772973,0.09329461969277385,-3.1909482835949174,0.001424816778036236,-0.11854761891678459,-0.3014050735146213,0.06430983568105214
profile2:sex,-0.3886321609559233,0.11431972515105908,-3.3995197280468874,6.791064860919491e-4,-0.1270127546992406,-0.3510794159953164,0.09705390659683522
profile3:sex,-0.34867950505515877,0.08152794514055477,-4.27680968107356,1.9230853302669894e-5,-0.15784904568192973,-0.31764381815741705,0.0019457267935576172
