term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5239597482230632,0.04028162723947071,-13.00741266255628,3.3699415894949454e-38,-0.5239597482230632,-0.6029117376124258,-0.44500775883370064
profile2,-0.2646549919700066,0.26834828020638557,-0.9862369595454888,0.32405407101258754,-0.03722006369726764,-0.5631826929017834,0.4887425655072481
profile3,0.27876346030483595,0.24652106238653454,1.1307896274913285,0.25818595321328824,0.04247803895106613,-0.4407032433265416,0.5256593212286739
profile4,-0.36014101098899376,0.19546031110000187,-1.8425275646099712,0.06544417153391965,-0.06874585829315757,-0.4518480680491612,0.31435635146284613
age,0.019356468171679474,0.01242720636064677,1.5575880539793396,0.11938030019782356,0.01940091478687487,-0.0049564096799928,0.04375823925374254
sex,0.3199711577422324,0.025274586867472998,12.659797741502064,2.6783294366344238e-36,0.16032656879891527,0.11078837853866819,0.20986475905916235
fas,0.03470828702172919,0.012321492451906786,2.8168898497647485,0.004863946149645178,0.034224391123294375,0.010074265917557074,0.05837451632903168
profile2:sex,0.5275808903102379,0.17307097866873206,3.048349841021345,0.0023103999825547675,0.11495620907719124,-0.2242629091135236,0.45417532726790605
profile3:sex,0.16003776697012478,0.1600456711144198,0.9999506131953462,0.31737215438135435,0.03752567243506295,-0.2761638429491999,0.35121518781932576
profile4:sex,0.5985386961210872,0.1281840959834746,4.669367845744689,3.0828306546681815e-6,0.17416282676835207,-0.07707800135925816,0.4254036548959623
