term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.5884888342129566,NA,0.054528391318510644,-10.792338082660134,7.952303644455218e-27
profile2,-0.021018388126156015,-0.0055135207425646305,0.1715642493153958,-0.12251030275845395,0.9025003601129808
profile3,0.08101011021555242,0.022662212947011606,0.16503563787795156,0.4908643445572746,0.6235463431890756
profile4,0.10596574544851425,0.03343621963748641,0.13974917157924768,0.7582566984193116,0.4483370505035862
age,0.004734004536596772,0.0047614944929421825,0.015728365303262326,0.3009851593168974,0.7634397230570285
sex,0.31296252587652784,0.1573454584787452,0.0335353077733996,9.332329018455335,1.585386339018064e-20
fas,0.01776385351969797,0.01780113439568473,0.01439091149900292,1.2343800127551854,0.21712581764646036
profile2:sex,0.47786138516406007,0.19334938467505644,0.11057161265360836,4.321736598534323,1.5814953086044763e-5
profile3:sex,0.2385501849002462,0.10657777909932276,0.10335763459999459,2.308007394165527,0.021043880720443834
profile4:sex,0.11946207954965814,0.05332503312464354,0.09718684226654947,1.2292001341294276,0.21906107665317234
