term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.23206550887599198,NA,0.04416535200656464,-5.2544698124787566,1.5317907307312094e-7
profile1,0.008471973626168673,0.002234786369918667,0.14146350437846808,0.05988805143341393,0.952246638894187
profile2,0.056000834004827686,0.011969254727635818,0.17572574024440227,0.3186831589210596,0.7499770337596063
profile3,-0.3446474481021428,-0.10503084999507281,0.12193243248794594,-2.8265445137922116,0.004719699794640743
age,0.048558414100466456,0.04868191028947839,0.013023993165904763,3.7283814174278365,1.9435317855686084e-4
sex,0.1035132133416478,0.051925905658971025,0.027426004884062966,3.7742724023869227,1.6190517067482595e-4
fas,-0.07167538976586342,-0.07087310952165833,0.012258185696989714,-5.84714504557269,5.243711333337053e-9
profile1:sex,0.2976983065772973,0.11854761891678459,0.09329461969277385,3.1909482835949174,0.001424816778036236
profile2:sex,0.3886321609559233,0.1270127546992406,0.11431972515105908,3.3995197280468874,6.791064860919491e-4
profile3:sex,0.34867950505515877,0.15784904568192973,0.08152794514055477,4.27680968107356,1.9230853302669894e-5
