term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),0.3896074451533199,NA,0.03709431218229155,10.503158630861865,1.270645151944761e-25
profile1,0.8115692691981358,0.09137564995281042,0.31175085322696877,2.603262383398439,0.009252778539726293
profile3,0.15935403764609832,0.028377788045560442,0.20019482777814224,0.7959947787596987,0.42606091082064423
profile4,-0.1865752476521839,-0.02359478919168857,0.27115693220178,-0.6880710964576959,0.4914298377781994
age,-0.13657705231196368,-0.13652909499708527,0.011700317638383808,-11.67293543073668,3.3113536022184213e-31
sex,-0.24265069453758964,-0.12134251956880023,0.023420739871601363,-10.360505085145233,5.579352581314246e-25
fas,0.052275375654422716,0.05207243646184578,0.011394841927847812,4.5876350005933055,4.5576659030260235e-6
profile1:sex,-0.7761258065280225,-0.1346854724097884,0.20215082402981877,-3.839340305699363,1.2440648798752157e-4
profile3:sex,-0.35783287192388125,-0.10016803760941206,0.12742643675783094,-2.808152539052229,0.004995870962908092
profile4:sex,-0.3037191884317383,-0.05649642039331158,0.18411215584872573,-1.6496422359058502,0.09905908457595684
