term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.6094052127424354,NA,0.01898149105552015,-32.10523403877746,2.702881318394836e-222
profile2,-0.11768767003274877,-0.01777421087762426,0.11831281406152366,-0.9947161764874445,0.319882552332982
profile3,-0.009618156137079998,-0.0018964962247858016,0.08831465646268696,-0.10890781351953374,0.9132763562046424
profile4,-0.06315561352947653,-0.011915948300697848,0.09250127735687091,-0.6827539611785197,0.4947677323368207
age,0.08989461327901163,0.08985735508666823,0.00587433966662403,15.30293077701342,1.1696230013767992e-52
sex,0.3796710165073839,0.18988314308943824,0.011920539240762744,31.85015449712914,7.210977835853725e-219
fas,0.03446466730229282,0.03419520100884538,0.005708205456124147,6.03774120732056,1.5816738732856359e-9
profile2:sex,0.29260851152052386,0.06986553102491448,0.07480892053950182,3.9114120269388994,9.196527658670007e-5
profile3:sex,0.22124015189293414,0.06683333343659073,0.05765198242596097,3.837511609892336,1.2454850862241303e-4
profile4:sex,0.3634538953379516,0.10512143169398266,0.06022840019777753,6.034593217559235,1.6127767646096328e-9
