term,estimate,std_estimate,std.error,statistic,p.value
(Intercept),-0.5540417037443011,NA,0.019035669064855574,-29.10544945158746,1.2818990974773462e-183
profile2,-0.13536671163537498,-0.020481285180582016,0.11860541625877481,-1.141319814097108,0.2537462110068919
profile3,-0.1451684090661632,-0.028640945645407014,0.08871349449353622,-1.636373472772402,0.10177221494285041
profile4,-0.007911281987827076,-0.0014946975472175112,0.09278832954778805,-0.08526160591944475,0.9320539984052318
age,0.04571017246141652,0.045747837645845515,0.005891818480909062,7.758245202144075,8.89099372671231e-15
sex,0.33722266112159893,0.16888294971256734,0.011955267959679454,28.207034945508706,9.917755622194441e-173
fas,0.031131698872472174,0.030939631717148582,0.005723490082062549,5.439285894814267,5.392323709911714e-8
profile2:sex,0.3764957227520365,0.09005804375649755,0.07499405509946416,5.020340909058625,5.188275227193994e-7
profile3:sex,0.4050346536903713,0.1225811340204373,0.05784108480257199,7.002542484686608,2.567894938479807e-12
profile4:sex,0.3456297347241545,0.10012848723098917,0.06039971282143239,5.722373809060733,1.0607172228625158e-8
