term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.32457338352231696,0.019158048428403567,16.941881357868745,4.4926330464783214e-64,0.32457338352231696,0.287023608602646,0.36212315844198795
profile1,0.10308163987992011,0.089120714644743207,1.1566518546314237,0.2474241445373671,0.020359192424996314,-0.15431740827870036,0.19503579312869299
profile2,0.09591680366939186,0.11981680610535343,0.8005287971459814,0.4234110365302569,0.014480766130944794,-0.22036017383554793,0.2493217060974375
profile4,-0.084210200716847,0.09333130923563504,-0.9022717178887972,0.36692003097412373,-0.015923399808210177,-0.19885276591005485,0.1670059662936345
age,-0.1020053815349604,0.005934219819326597,-17.189350014090945,6.767227063975132e-66,-0.10211656646669703,-0.11374763731257717,-0.0904854956208169
sex,-0.18803372593827075,0.012035571281485446,-15.623165825749103,8.467785906553409e-55,-0.09419956018931043,-0.1177892799010219,-0.07060984047759895
fas,0.07827575254313757,0.005775167710118524,13.55384925116419,1.007304941649226e-41,0.07764081626799327,0.06632148755616096,0.08896014497982557
profile1:sex,-0.3197096151643865,0.058237356364685564,-5.489768683220219,4.058261043897345e-8,-0.09663468327641378,-0.21077990175119748,0.017510535198369925
profile2:sex,-0.3303088253276041,0.07569509502010738,-4.363675417011657,1.2833636607029042e-5,-0.07890608010048981,-0.22726846633990028,0.06945630613892063
profile4:sex,-0.26278631569269245,0.060796757880262745,-4.322373837931319,1.548726982933983e-5,-0.07613327718231026,-0.19529492262762524,0.04302836826300471
