term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.10596698312968614,0.06445926755981529,1.6439371271377472,0.10026813163442308,0.10596698312968614,-0.020373181287551834,0.2323071475469241
profile1,-0.41672805646941996,0.1552599867568695,-2.6840660312692046,0.007303378542054284,-0.14552111123998143,-0.4498306852834456,0.15878846280348277
profile2,-0.0043765764030567105,0.15473232882681304,-0.02828482215862771,0.9774364033197149,-0.001402885434354241,-0.3046782499349078,0.3018724790661993
profile4,0.09118826628550988,0.1538988150485595,0.5925209122418347,0.5535354655389599,0.028530283864828622,-0.273111393630348,0.33017196136000526
age,-0.15885240607733817,0.016527689625173224,-9.611289277564302,1.2282474188682784e-21,-0.15875329879271632,-0.19114757045805583,-0.12635902712737682
sex,-0.02049548044238061,0.03898195683225017,-0.5257683838340432,0.5990784210402353,-0.010225632650159078,-0.0866302680413694,0.06617900274105125
fas,0.15994673036913298,0.015409998387724456,10.379412531058142,6.378348148984709e-25,0.1598691096178081,0.12966551277786817,0.19007270645774801
profile1:sex,0.10908469356602181,0.09211863926993662,1.1841761279860996,0.23641402846425183,0.0649199344282588,-0.11563259854081698,0.24547246739733458
profile2:sex,-0.11571868400922641,0.09771776520587046,-1.1842133696511772,0.23639929144258892,-0.05869163613215064,-0.2502184559356567,0.13283518367135544
profile4:sex,-0.2123010610104698,0.10758640695992518,-1.9733074745172015,0.04852958468879298,-0.09227932986197548,-0.3031486875034288,0.11859002777947786
