term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.7336341601034231,0.046795788828641764,-15.677354276254789,2.975837448479306e-54,-0.7336341601034231,-0.825353906207561,-0.6419144139992852
profile1,0.18610547415567807,0.15533201947795489,1.1981140448772098,0.2309229485432154,0.04731927321953307,-0.2571314849572585,0.3517700313963246
profile3,0.6426148528171512,0.13522045941592806,4.752349279043017,2.060549503785948e-6,0.21312743904992407,-0.0519046614052949,0.478159539505143
profile4,-0.21274416388486722,0.16410305621285567,-1.296405861015287,0.19488871616627423,-0.04988601003022169,-0.37152800020741883,0.27175598014697544
age,0.011498151338240043,0.01314416583598072,0.8747722359653367,0.38173508232728526,0.01154314050120974,-0.01421942453731247,0.03730570553973195
sex,0.3926050169813613,0.028965231532632325,13.554354521180029,3.2797374969434134e-41,0.19682212709902944,0.14005027329507008,0.2535939809029888
fas,-0.02388286204221574,0.012553924629171697,-1.902421971430262,0.05716687839333079,-0.023914598806756872,-0.0485202910799334,6.910934664196532e-4
profile1:sex,0.11864930566962965,0.09975021873489834,1.1894641152112013,0.23430713780353196,0.04694953028950713,-0.14856089843089362,0.24245995900990788
profile3:sex,0.028862997610683252,0.07953844487803292,0.3628810904581149,0.716707306421959,0.016489464215242212,-0.1394058877457023,0.17238481617618676
profile4:sex,0.45680075709797946,0.1183738885309463,3.858965543558694,1.1513880386537286e-4,0.1466710273286218,-0.08534179419203294,0.3786838488492765
