term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.7355690840766255,0.04696198017776832,15.663076413989074,3.6922917749489845e-54,0.7355690840766255,0.6435236029281995,0.8276145652250514
profile1,0.05822396359741668,0.1560739169118719,0.37305377317013966,0.7091224397037938,0.01478831003056729,-0.2911165671167016,0.3206931871778362
profile3,-0.4895320056541423,0.13665373187240978,-3.5822805491415797,3.434797201931128e-4,-0.16129682069074,-0.4291381351606631,0.10654449377918315
profile4,0.1621584460657465,0.16516360335825883,0.9818049665216264,0.3262380466971869,0.03782963588294109,-0.2858910266992462,0.3615502984651284
age,-0.13645508626118036,0.013210777172420946,-10.329073337641818,8.648196858944115e-25,-0.13653271465093067,-0.16242583790887571,-0.11063959139298563
sex,-0.43257089283508876,0.029060690768802442,-14.885086396482603,3.499729107141849e-49,-0.216327029020481,-0.2732859829273338,-0.15936807511362822
fas,0.07928481273190295,0.012571374457946259,6.306773614701111,3.06569491832054e-10,0.079423080957495,0.054783187019920326,0.10406297489506966
profile1:sex,-0.1449678702335742,0.09998070804263441,-1.449958427697432,0.14712570691317467,-0.057442876354926474,-0.2534050641184899,0.13851931140863696
profile3:sex,0.04017018916013056,0.08029124002700574,0.5003060003385104,0.6168791466192304,0.02282277749636175,-0.13454805295656952,0.180193607949293
profile4:sex,-0.33840377025248236,0.11898247854967556,-2.8441479315057108,0.004469063395061494,-0.10825153462440715,-0.3414571925817712,0.12495412333295694
