term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.671893371425456,0.04949243359731841,-13.57567859548253,3.772809247694859e-41,-0.671893371425456,-0.7688985412762002,-0.5748882015747119
profile1,0.6539798972040756,0.2078234786339602,3.1468046897431226,0.001661752253411945,0.12914508903359018,-0.2781889290889718,0.5364791071561521
profile2,1.141076061234625,0.12405398206705366,9.198221953228801,5.504755855154604e-20,0.42177426462562023,0.17862845977419506,0.6649200694770454
profile4,0.22331308122386603,0.23104362362774966,0.9665407671395475,0.33382714336216923,0.040090501668518706,-0.41275500064187065,0.492936003978908
age,0.077789839329465,0.013799531123458532,5.637136409455684,1.83788810402811e-8,0.07746391604425494,0.05041683504227622,0.10451099704623366
sex,0.2939227282134432,0.030802322763357093,9.542226100010161,2.2549078809334474e-21,0.14670685025245164,0.08633429763627173,0.20707940286863155
fas,-0.01788771610468719,0.013609020554361315,-1.314401431993919,0.1887801306939062,-0.01766434821789177,-0.04433802850443995,0.009009332068656405
profile1:sex,-0.07592424737597218,0.14022935838197542,-0.5414290434757577,0.5882394935224454,-0.022101488968292372,-0.2969510313969642,0.25274805346037943
profile2:sex,-0.01962850252083625,0.07460901963276834,-0.26308484707947294,0.7924975856559608,-0.012250346567142753,-0.1584840250473687,0.1339833319130832
profile4:sex,0.215656633044139,0.1514783177020455,1.4236798791780274,0.15461055334847762,0.059015612680097126,-0.23788189001591203,0.3559131153761063
