term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6463784703366683,0.026226186312182733,-24.646300557866812,1.4593428039103092e-132,-0.6463784703366683,-0.6977817955085465,-0.5949751451647901
profile2,0.11884551231331532,0.050367253576079844,2.3595789699710132,0.01830321298950068,0.028525511939582342,-0.07019430506953414,0.12724532894869883
profile3,0.20598674996014482,0.06341172083441848,3.2484018293403536,0.0011620606695822838,0.03905579616363582,-0.08523117667182441,0.16334276899909606
profile4,0.18503676295669158,0.0695992979291098,2.6586009983198444,0.007851502942934296,0.03097062414819356,-0.10544399979286163,0.16738524808924876
surveyyear2006,0.16171438115639228,0.02320870111214799,6.967834191795727,3.297189407805876e-12,0.06434986020640301,0.01886080602659295,0.10983891438621307
surveyyear2010,0.06896123309890025,0.022692900493545144,3.0388902079095548,0.0023769287204780465,0.028736173491631586,-0.015741911475716894,0.07321425845898007
surveyyear2014,-0.1321345085013396,0.023262222630436213,-5.680218550073339,1.3599315951239752e-8,-0.05035611989910836,-0.09595007625476334,-0.004762163543453386
surveyyear2018,0.0550000001623681,0.02195364482501434,2.5052787635381715,0.012241703680615529,0.023810433849183573,-0.019218710007844534,0.06683957770621168
age,0.0023920845141891254,0.006440066441558295,0.37143786262091977,0.7103145291837051,0.0023922557589549343,-0.010230274466499323,0.015014785984409192
sex,0.3783216830430716,0.012348839219608844,30.636214166780217,1.955016624602347e-202,0.1891967960123497,0.16499307114191636,0.21340052088278305
fas,-0.03154214474467472,0.006271700027134399,-5.0292814720423795,4.956741107985851e-7,-0.03148903828685872,-0.04378157034004214,-0.0191965062336753
profile2:surveyyear2006,0.03747835246113889,0.06930746313675053,0.5407549312141229,0.5886812556944637,0.004963783379558309,-0.13087884436847272,0.14080641112758932
profile3:surveyyear2006,-0.0790508920773703,0.09520797739778818,-0.8302969376934456,0.4063787277845653,-0.006929695826290472,-0.1935373315259553,0.17967793987337435
profile4:surveyyear2006,0.010330220784347092,0.09925841149937878,0.1040740087243059,0.9171114390793522,9.078486758093717e-4,-0.19363863786297303,0.19545433521459177
profile2:surveyyear2010,0.15790174222070855,0.07437548465974915,2.123034800284972,0.03376058486269273,0.017939666871648784,-0.12783628306145955,0.1637156168047571
profile3:surveyyear2010,0.0768566248655402,0.09262992789400545,0.829716989022011,0.4067066163205304,0.007069931615214751,-0.17448472705703594,0.18862459028746542
profile4:surveyyear2010,0.05860862765140266,0.10253019207545809,0.5716231137874888,0.5675823942893997,0.004815171448271232,-0.19614400501962662,0.20577434791616908
profile2:surveyyear2014,0.3499999268969721,0.08944782752618764,3.9128946624724077,9.14340070050537e-5,0.029330549886587738,-0.14598719206474003,0.2046482918379155
profile3:surveyyear2014,0.14285562750529004,0.13050313136559114,1.0946528716241655,0.2736791295374222,0.0077133111256740905,-0.2480728263508845,0.2634994486022327
profile4:surveyyear2014,0.31327611887197687,0.1316887233105739,2.378913782413611,0.017371086366015673,0.017253395275085813,-0.240856502413639,0.2753632929638106
profile2:surveyyear2018,0.12291214134146018,0.09353894579372887,1.3140210240609809,0.18885100360255674,0.009589431234533949,-0.17374690252117464,0.19292576499024255
profile3:surveyyear2018,0.08093680066350076,0.0939711510459597,0.8612941287046271,0.38908420411041045,0.007219599605791521,-0.17696385644428947,0.1914030556558725
profile4:surveyyear2018,0.4308851440646826,0.1333115166925576,3.232167443255393,0.0012301177169500984,0.02326510501295251,-0.2380254677044604,0.2845556777303654
