term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6933277713560478,0.021363951159199802,-32.45316216038461,2.355577388525986e-226,-0.6933277713560478,-0.7352011156280794,-0.6514544270840162
profile2,0.004853778436009415,0.07685391922766735,0.06315589998254843,0.9496428649123243,0.0011687765979370899,-0.1494649050882909,0.1518024582841651
profile3,-0.051810443677060905,0.10196146037548601,-0.5081375206500807,0.6113613750730194,-0.009824380593036908,-0.2096688429289895,0.19002008174291565
profile4,0.10028023310249566,0.11207983864377187,0.8947214264040886,0.3709446126588689,0.016715325603857505,-0.20296115813793536,0.23639180934565035
age,0.08985115383521639,0.006390377729186114,14.060382287708668,9.842135157787478e-45,0.08968965395139027,0.07716451360218549,0.10221479430059505
sex,0.4301165913598572,0.013099157700735033,32.83543882640043,1.4743879334008968e-231,0.21482681766496367,0.189152468571523,0.24050116675840433
fas,-0.03411187521537449,0.006128819572081238,-5.565814887219906,2.6359802366381665e-8,-0.03393631383548977,-0.045948800196768995,-0.021923827474210546
profile2:sex,0.19499541513317376,0.05431476333470017,3.590099692261693,3.311825423058442e-4,0.06567965650375746,-0.04077727963225489,0.1721365926397698
profile3:sex,0.23811116845512872,0.06430516848938436,3.702830955095571,2.1366400833295343e-4,0.07164236556354271,-0.054395764675650646,0.19768049580273606
profile4:sex,0.13476526451065168,0.07380288442765796,1.8260162262729638,0.06785970726643464,0.03408167836261741,-0.11057197511559219,0.17873533184082702
