term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.610480111331318,0.02105427447691833,28.995542544132004,6.81056276359099e-182,0.610480111331318,0.569213733356558,0.6517464893060779
profile2,0.187962130962177,0.07628984594050593,2.4637896255388676,0.013754243286362629,0.044978313946988015,-0.10454978409640361,0.19450641199037963
profile3,-0.05447545437666215,0.10051351834142758,-0.541971421113906,0.5878429403316598,-0.010329576853395465,-0.20733607280259353,0.18667691909580258
profile4,-0.0033802029158866904,0.11046844417070478,-0.03059880983444763,0.9755897313434336,-5.628688237672151e-4,-0.2170810193983486,0.21595528175081416
age,-0.13120545647874127,0.006296043727732009,-20.839349622180077,1.200008910695472e-95,-0.13112930355960556,-0.14346954926596028,-0.11878905785325082
sex,-0.3829787724081757,0.012922717549252382,-29.63608629133368,8.616552054402055e-190,-0.19121897763313347,-0.21654750402966813,-0.16589045123659882
fas,0.10607741176302715,0.006035195697650977,17.576465963533657,9.516993083002454e-69,0.10574714776740214,0.09391816420000623,0.11757613133479805
profile2:sex,-0.33532383889764195,0.05391318899596059,-6.2196995789428415,5.058592998391752e-10,-0.11227747255247522,-0.217947322984558,-0.006607622120392467
profile3:sex,-0.0885211078567612,0.06345598056513206,-1.3950002358863869,0.16302794650008884,-0.026607980164631412,-0.15098170207229025,0.09776574174302743
profile4:sex,-0.1360827338898403,0.07302387847109792,-1.863537472111953,0.062398197852330785,-0.03424672860165346,-0.1773735304050054,0.10888007320169849
