term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.03765731473830064,0.02160911636632954,1.742658704775951,0.08140553777432714,0.03765731473830064,-0.004696553339705256,0.08001118281630654
profile2,0.022242928831325462,0.07825272630380735,0.2842447781943061,0.7762251547746116,0.005321545624255367,-0.14805379793120704,0.15869688917971775
profile3,-0.12800705818064703,0.1037558422494331,-1.2337334978488543,0.2173138192065932,-0.024221439082757607,-0.2275828898916465,0.17914001172613125
profile4,-0.11537014051340341,0.1127431079135625,-1.0233010482721037,0.3061754242777158,-0.019324601979629187,-0.24030109349021167,0.2016518895309533
age,-0.1404333759572189,0.006457082385409634,-21.748735353685575,6.52293650924391e-104,-0.14038878255835402,-0.1530446640337569,-0.12773290108295113
sex,-0.008784872098642576,0.013245090055007232,-0.6632549920127953,0.507173368892428,-0.004389268916791072,-0.03034964542460525,0.021571107591023105
fas,0.14515146046214006,0.006215609659809733,23.352731012163222,2.4471901952067346e-119,0.14410954030482556,0.1319269453715985,0.15629213523805263
profile2:sex,-0.1404507946334648,0.0551677583537257,-2.545885474137261,0.010906038959938866,-0.04712351555869692,-0.15525232193199928,0.06100529081460545
profile3:sex,-0.052951988761778,0.06521433006659966,-0.8119686073245124,0.4168173717002043,-0.015954346745375582,-0.1437744336759109,0.11186574018515974
profile4:sex,-0.07588920604021662,0.07437560087033673,-1.0203508294678338,0.30757197287905136,-0.019248515918420042,-0.16502469362428002,0.12652766178743996
