term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.38469784686757075,0.061225413999803725,6.283303316965795,3.683496601682336e-10,0.38469784686757075,0.26469603542795545,0.5046996583071861
profile1,-0.45487627719301976,0.12500486461110022,-3.6388686040993283,2.774307211949866e-4,-0.19103514969686047,-0.4360446843346169,0.05397438494089596
profile2,0.06539775113537966,0.22459222471606785,0.29118439526593703,0.7709259782106175,0.014354161101277912,-0.4258465993422151,0.4545549215447709
profile4,-0.13811329859131002,0.24836450229480211,-0.556091137482172,0.5781808607711123,-0.02760566123318868,-0.5144000857310008,0.45918876326462343
profile5,-0.42942234752776975,0.243064225229779,-1.766703212378615,0.07735714679453667,-0.08931628143615286,-0.5657221628865197,0.387089600014214
age,0.001982278058664436,0.015901118054236586,0.12466280999255214,0.90079700755334,0.001982191608968346,-0.02918399977733536,0.033148382995272056
sex,-0.15481750760944307,0.03869574055925559,-4.000892743540282,6.428990789016374e-5,-0.07732209141405894,-0.1531657429101999,-0.0014784399179179758
fas,0.17583908852687252,0.015496535666474801,11.346993438493659,2.2359019310810372e-29,0.17552343098550235,0.14515022107921174,0.20589664089179296
profile1:sex,0.017806877875422202,0.07602365268926613,0.23422812829324074,0.8148203303630146,0.012614138748008395,-0.13639222052295322,0.16162049801897002
profile2:sex,-0.1844059651970732,0.14198788335416618,-1.2987443776248278,0.19410942881425047,-0.06416785562316063,-0.3424641069973263,0.21412839575100506
profile4:sex,-0.2529258103193274,0.15574572262899897,-1.623966334676302,0.10446483467655453,-0.08084609196989052,-0.3861077083227285,0.22441552438294748
profile5:sex,0.010694593179150818,0.15026757091696297,0.07117033378453021,0.9432658873440092,0.0036144379176039974,-0.2909100010796434,0.2981388769148514
