term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.14838324702727,0.06100094798972807,2.432474443712845,0.015041706983686662,0.14838324702727,0.028821388967402967,0.267945105087137
profile1,-0.3254312840623123,0.12417743099486116,-2.6206958982407973,0.008809837701008807,-0.13687877115039326,-0.3802665359003211,0.10650899359953461
profile2,0.2153746317598246,0.22456303500643168,0.959083189063846,0.33757758360214796,0.047240988093748194,-0.39290256051885786,0.4873845367063543
profile4,-0.3961839811438984,0.2478888888903605,-1.5982321068013974,0.11007410079069659,-0.07904963306371217,-0.5649118552888188,0.40681258916139446
profile5,-0.3671574569513523,0.24601629704974784,-1.4924111181020991,0.13567404615465348,-0.07584790876588376,-0.5580398509833895,0.406344033451622
age,-0.03597312654862694,0.015839871034761213,-2.271049206756956,0.023199459220870435,-0.035938596830275706,-0.06698474405840768,-0.004892449602143727
sex,0.0034042295778807783,0.03855666138583346,0.08829160657389191,0.9296495416113578,0.0017001732068043823,-0.0738708831094292,0.07727122952303796
fas,0.20366158419577274,0.015406441258304919,13.219249064801902,4.8394639519319293e-39,0.2038241558885419,0.17362753102226428,0.23402078075481955
profile1:sex,-0.030066880460835284,0.07558444836433695,-0.39779188856290915,0.690805842034514,-0.02131213088240208,-0.1694576496765025,0.12683338791169835
profile2:sex,-0.31945193544362194,0.1415590575681989,-2.256668989829348,0.024085095413182173,-0.11142627688289339,-0.38888202971656316,0.1660294759507764
profile4:sex,-0.08342286742139644,0.15547577951786867,-0.5365650372044524,0.5915993701175766,-0.026621804816632528,-0.3313543326716551,0.2781107230383901
profile5:sex,-0.2414202850238352,0.15106362222755043,-1.598136476961863,0.11009537773733445,-0.08161824593199052,-0.3777029454979894,0.21446645363400835
