term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6687026641651566,0.0444856694104409,-15.03186695912033,3.5541545871885187e-50,-0.6687026641651566,-0.7558945762096207,-0.5815107521206924
profile1,0.6191039071576078,0.09740602675704886,6.355909667702424,2.221680266894445e-10,0.24690165578729859,0.05598584334348283,0.43781746823111434
profile3,0.5488951775590463,0.18668775179914665,2.9401777688639736,0.0032925397711022386,0.10634113655465863,-0.2595668569716688,0.472249130080986
profile4,0.3764130440215242,0.19041181675185234,1.976836576860519,0.04810501025742219,0.07307120866002288,-0.3001359521736077,0.44627836949365346
profile5,0.27560820656360696,0.17239645625216626,1.5986883521577246,0.10994159043510698,0.05856157705202025,-0.2793354772022256,0.39645863130626613
age,0.08955941961222459,0.012128080153300998,7.384467985054377,1.7351321112937172e-13,0.08943444217857754,0.06566340507810758,0.1132054792790475
sex,0.29793944081738366,0.028644856639547987,10.401149657214173,3.9674179893366314e-25,0.14891120269212021,0.09276728367860616,0.20505512170563428
fas,0.021681992891787422,0.011897328113532255,1.8224253954235234,0.06843933510844381,0.02152241232171717,-0.001796350780806047,0.04484117542424039
profile1:sex,0.0911103621847931,0.06032906552652849,1.5102233291634388,0.13103817523516745,0.05994524143935004,-0.058299726992645795,0.17819020987134587
profile3:sex,0.13511741610817282,0.12393123272614269,1.0902612128998088,0.2756411045108845,0.03939750929026046,-0.20350770685297923,0.28230272543350016
profile4:sex,0.20724602718083912,0.12229778004831476,1.6946017098508643,0.09020197878633278,0.06278172539227234,-0.17692192350242458,0.30248537428696926
profile5:sex,0.08296803695154381,0.1122177530304623,0.7393485853260807,0.45972376618286515,0.0271253723409393,-0.1928214235987668,0.24707216828064543
