term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.5010213747569382,0.029703775423499817,16.867262414075505,3.0095767078272643e-63,0.5010213747569382,0.44280197492687856,0.5592407745869978
profile1,-0.1846438483576561,0.07237770898473088,-2.551114852179272,0.010747762758002674,-0.03515801171525052,-0.17701832132532302,0.106702297894822
profile2,-0.3214825754768556,0.06184998931489105,-5.197778997828464,2.043389264332732e-7,-0.06651961672482525,-0.18774559578201172,0.054706362332361216
profile3,-0.3420405222731194,0.03611641298051194,-9.470500917621056,3.193789371493871e-21,-0.13756446837634428,-0.2083526378181477,-0.06677629893454087
profile5,-0.6195713424294775,0.05475877891339663,-11.314557313437474,1.4659985595816608e-29,-0.13634904873611467,-0.24367625540637206,-0.02902184206585727
surveyyear2006,-0.12561442791327374,0.025907868804810677,-4.848504863894831,1.2564610552015627e-6,-0.054964017716656766,-0.10574344057408569,-0.0041845948592278415
surveyyear2010,-0.08360295466103286,0.022608040132062187,-3.6979302129983895,2.1814231507759875e-4,-0.04117989227554375,-0.08549165093438563,0.0031318663832981333
age,-0.07846571011676698,0.008134693527226568,-9.645810239088254,5.932745638999538e-22,-0.07837221895663084,-0.09431621826999491,-0.062428219643266766
sex,-0.2011778377171778,0.01578804047518364,-12.742419683645876,5.350820651016366e-37,-0.10055983031900899,-0.13150438965036892,-0.06961527098764905
fas,0.1196072124360623,0.00794169672048702,15.060662305010238,6.937705797908586e-51,0.11938841689476119,0.10382269132260663,0.13495414246691576
profile1:surveyyear2006,0.03631515382413349,0.10516888071977314,0.3453032263497862,0.7298712788338717,0.0038366746788616045,-0.20229433153189372,0.20996768088961695
profile2:surveyyear2006,-0.15420300746476254,0.0995868344563984,-1.5484276441408171,0.12154053413293131,-0.01590548273900162,-0.21109567827354248,0.17928471279553926
profile3:surveyyear2006,-0.08525449663221031,0.05203980048352065,-1.63825563972344,0.10138941831921275,-0.02027633747860321,-0.12227434642630369,0.08172167146909726
profile5:surveyyear2006,0.2464482269309994,0.09282450323024548,2.6549910676031274,0.007939453553612644,0.026489905756970866,-0.1554461205743103,0.208425932088252
profile1:surveyyear2010,0.028971628186528795,0.09947762836971676,0.29123762459287195,0.7708736286899466,0.0033831682131452794,-0.19159298339149958,0.19835931981779012
profile2:surveyyear2010,-0.07304897188525465,0.08817091033475437,-0.8284928851013678,0.407404646979486,-0.009286942828685195,-0.18210192708480374,0.16352804142743335
profile3:surveyyear2010,-0.06467596995282167,0.04770158258374208,-1.3558453713622678,0.17516884855673134,-0.017728074706811592,-0.11122317657094608,0.07576702715732289
profile5:surveyyear2010,0.1366925133043821,0.08369926290147427,1.633138794367739,0.10246086458067681,0.0172035505252898,-0.14684700476159976,0.18125410581217935
