term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.654399308371954,0.02932788674237792,-22.313210430752466,1.6082264967249938e-108,-0.654399308371954,-0.7118819663870147,-0.5969166503568933
profile1,0.21633603442803964,0.12394431427477069,1.7454292735723789,0.08093070101426177,0.04122390491939596,-0.2017069510591546,0.2841547608979465
profile2,0.19744742820078853,0.11562604589934684,1.707637986450455,0.08772428086139467,0.040764107813006184,-0.18586294214971363,0.267391157775726
profile3,0.6010057489707863,0.06298291597512345,9.5423614430327,1.607574009551907e-21,0.24241119946541792,0.11896468415417595,0.3658577147766599
profile5,0.5157231633643963,0.10719510829941968,4.811069941026294,1.5158825574688356e-6,0.1137659431811334,-0.09633646908572918,0.32386835544799597
age,0.08682487685626185,0.007787726977609492,11.148936924200376,9.406516767033719e-29,0.08673590959843526,0.07147196472232066,0.10199985447454986
sex,0.2796234105274862,0.018527901471531483,15.092017353240653,4.3436996723415936e-51,0.1397702160253106,0.10345552914110889,0.1760849029095123
fas,0.011506454741232543,0.007575519282170106,1.5188998024616431,0.12880884804589296,0.011477023458201601,-0.0033709943348518064,0.02632504125125501
profile1:sex,0.19420479353051465,0.07995719527996467,2.42885950226893,0.015158099088928791,0.05740471262103334,-0.09931139012769741,0.21412081536976407
profile2:sex,0.2753763972831038,0.07376163407398588,3.7333283181727,1.8966629299758999e-4,0.08921134571947649,-0.05536145706553584,0.2337841485044888
profile3:sex,0.06459856866441138,0.0384824393495594,1.678650567798556,0.09324104740145346,0.0435367989981944,-0.03188878212694204,0.11896238012333082
profile5:sex,0.19686832090032472,0.06928895602372497,2.841265508935014,0.00449956001367868,0.06717108129316063,-0.06863527251334031,0.20297743509966157
