term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5854130163813848,0.028544278301779753,-20.508944391313754,3.3282801756074674e-92,-0.5854130163813848,-0.6413598018528731,-0.5294662309098964
profile1,0.3903190174688892,0.12060293888270435,3.23639723115292,0.0012131271434821444,0.07439321155493717,-0.16198854865516335,0.31077497176503766
profile2,0.15487289314669014,0.11224932497317054,1.3797222672270621,0.16769283783017222,0.03203102203122676,-0.18797765491618748,0.252039698978641
profile3,0.7218276122102809,0.06122601897792868,11.789556535931103,6.122487851644969e-32,0.2913841557132068,0.17138115851646657,0.41138715290994704
profile5,0.5528087797430219,0.1040565339044986,5.312581142193155,1.0963490602476207e-7,0.12222511396607012,-0.08172569248674712,0.3261759204188874
age,0.050847570552554976,0.007576320735055923,6.711380408868033,1.9973857053657714e-11,0.05078612355373152,0.035936534913021914,0.06563571219444113
sex,0.19552532873092937,0.01803668481597042,10.840424985294593,2.798088151338251e-27,0.09773527806854873,0.06238337582924671,0.13308718030785074
fas,-0.027442995664717605,0.007369885060867145,-3.7236667109552783,1.9707227914969017e-4,-0.02737320769870584,-0.041818182418005445,-0.012928232979406236
profile1:sex,0.1406951958901753,0.0777628643299676,1.8092851530413003,0.07042681964150793,0.04161828008859404,-0.11079693399814243,0.1940334941753305
profile2:sex,0.39842424546491845,0.0716403510434655,5.561450211532146,2.7213438961824858e-8,0.12924705260324248,-0.011168035441949886,0.26966214064843486
profile3:sex,0.11882215933670585,0.03741128929087726,3.176104368198843,0.001495708604036361,0.08014990044431942,0.006823773434200001,0.15347602745443883
profile5:sex,0.2485443760756563,0.0672591658524524,3.6953234986721726,2.203918360911294e-4,0.0850031672518517,-0.04682479781895499,0.21683113232265838
