term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.19439243028397293,0.030241043793185055,6.428099228763396,1.331264372473029e-10,0.19439243028397293,0.1351199844493302,0.25366487611861566
profile1,0.16727887575934397,0.1280680473407771,1.306171829997771,0.19151422584361294,0.03186145646800386,-0.2191519163199192,0.28287482925592694
profile2,-0.06613666885754783,0.11942422642529264,-0.5537960834012224,0.5797266914940111,-0.013659705113758294,-0.24773118890733187,0.22041177867981526
profile3,-0.3864833601303225,0.06518035843438764,-5.929445149022421,3.106588681819682e-9,-0.1554209805582405,-0.28317448308964027,-0.02766747802684072
profile5,-0.4477789416959969,0.11058219691961037,-4.04928599873556,5.163317061292767e-5,-0.09893836208511857,-0.31567946804755487,0.11780274387731775
age,-0.06135923771410442,0.00804236031621668,-7.629506177481151,2.498373384715461e-14,-0.06129308671563827,-0.07705611293542296,-0.04553006049585358
sex,-0.02032006031331412,0.01912543293319356,-1.0624627627669123,0.28804281596802594,-0.010158018438940649,-0.04764386698800002,0.027327830110118728
fas,0.14057173614629973,0.007816696398945893,17.983522574224104,1.486729959550913e-71,0.14044330423677212,0.12512257929483817,0.15576402917870608
profile1:sex,-0.3382545785586156,0.08267564940950957,-4.091344682195006,4.3112823039347575e-5,-0.09987980670280704,-0.2619240795454458,0.06216446613983172
profile2:sex,-0.32809051365674213,0.07619480315478042,-4.3059434511598695,1.673350965718665e-5,-0.10633113764404412,-0.25567295182741373,0.0430106765393255
profile3:sex,-0.03376790455895787,0.03986353803603812,-0.8470874945528023,0.39695991484424853,-0.022666281818448264,-0.10079881636908299,0.05546625273218646
profile5:sex,-0.1910813088239028,0.07148638283840446,-2.6729749252503607,0.007526348019322592,-0.06530750528149948,-0.20542081564477221,0.07480580508177326
