term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5680703889328812,0.023338633993206244,-24.34034438768968,1.0156487529007762e-129,-0.5680703889328812,-0.6138141115595654,-0.522326666306197
profile1,0.4316402035410444,0.05750302465217607,7.50639129249195,6.230497913227227e-14,0.08275707429751462,-0.029948854020750468,0.1954630026157797
profile3,0.28192360709338277,0.06492942262153156,4.342000832761028,1.4160982498466399e-5,0.051050861235694786,-0.07621080710250706,0.17831252957389665
surveyyear2006,-0.04463730029259141,0.023552408449620792,-1.8952329392584941,0.058070249575595624,-0.014699948845797808,-0.060862669407054565,0.03146277171545894
surveyyear2010,-0.04086285103561356,0.022614851137784095,-1.8069033833851487,0.07078641871734101,-0.014359520488229359,-0.05868462871828618,0.029965587741827462
surveyyear2014,-0.027365003696953504,0.022522481896785497,-1.2150083557558171,0.2243715684269855,-0.009864893816167336,-0.05400895833386691,0.03427917070153224
surveyyear2018,-0.02697735556545903,0.019431512316783753,-1.3883302094895433,0.16504585724293708,-0.013496265945844682,-0.05158203008674084,0.024589498195051476
age,0.10717237279784185,0.005444466266243213,19.684642636566995,9.045208324423675e-86,0.10719576581858364,0.09652461193674694,0.11786691970042035
sex,0.3721462967653145,0.010577637153415883,35.18236552906673,3.0259069409949486e-266,0.1865107391140691,0.16577857029337395,0.20724290793476424
fas,-0.017851739334439003,0.005610451964180272,-3.18187187920203,0.0014646158923296022,-0.017716832708119412,-0.028713318557912745,-0.006720346858326079
profile1:surveyyear2006,0.03131361053415109,0.08274647334834653,0.37842833980763013,0.7051148448265874,0.0028682478958665975,-0.1593148398668926,0.1650513356586258
profile3:surveyyear2006,-0.050036581276282674,0.09244776954252401,-0.5412416278282075,0.5883446897572553,-0.004128319935554485,-0.18532594823890156,0.17706930836779258
profile1:surveyyear2010,-0.030889750773954783,0.0894211153348855,-0.3454413497110999,0.7297647900144929,-0.002428070993319078,-0.17769345704969466,0.17283731506305652
profile3:surveyyear2010,0.08939282299175662,0.0942203101268402,0.948763837344785,0.3427476625072239,0.0070606499336386885,-0.1776111579149681,0.19173245778224549
profile1:surveyyear2014,0.16883006917904136,0.1059762856007513,1.593092909625854,0.11114889504697813,0.010124178430991906,-0.19758934134648065,0.21783769820846444
profile3:surveyyear2014,0.33776618940768305,0.10047343288782976,3.361746281574463,7.753885688790446e-4,0.023617131349566473,-0.17331079711057984,0.22054505980971278
profile1:surveyyear2018,0.4495323411731693,0.07744108630182638,5.804830002269319,6.50183619690939e-9,0.04593835212246342,-0.10584617702911628,0.1977228812740431
profile3:surveyyear2018,0.20630088422961715,0.08645321539024854,2.3862719656912468,0.017025741911538616,0.019196376936729598,-0.15025192522815753,0.18864467910161672
