term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5585093361120603,0.023262462795962616,-24.009037263629455,2.701351427150252e-126,-0.5585093361120603,-0.6041037631921471,-0.5129149090319736
profile1,0.3659871061432217,0.05728408899506696,6.388983617680275,1.692094541277694e-10,0.07003000104612188,-0.04224681338420937,0.1823068154764531
profile3,0.33229948663915393,0.06455382517938102,5.147634330200667,2.6529947575548004e-7,0.06010808229066582,-0.06641741506092098,0.18663357964225263
surveyyear2006,-0.061540546837182894,0.023474020107545214,-2.621644974113404,0.00875465854276878,-0.020209049727912952,-0.06621812913870156,0.025800029682875668
surveyyear2010,-0.09689171320647445,0.022540155317914083,-4.298626688231757,1.723507382430914e-5,-0.03395394390548882,-0.07813264832860042,0.010224760517622777
surveyyear2014,0.007018705789808974,0.022456138504832766,0.31255176789626965,0.7546231970601207,0.002521581065298804,-0.04149245040417342,0.04653561253477102
surveyyear2018,0.22999494710902327,0.019366464221772635,11.87593896724074,1.8376820822965576e-32,0.11474211197130699,0.07678384209663262,0.15270038184598134
age,0.13342129665989125,0.005426001409978641,24.589248431547393,2.545966035027138e-132,0.13308217731568217,0.12244721455212404,0.1437171400792403
sex,0.2896441097877695,0.010541472276072493,27.476627761495585,2.351873554976396e-164,0.14475549247893335,0.12409420681783126,0.16541677814003544
fas,-0.04802075419164857,0.005591434400303599,-8.588271050634374,9.208951270083781e-18,-0.04752860316069497,-0.058487814585290024,-0.03656939173609991
profile1:surveyyear2006,0.07684130489907813,0.08243102567562952,0.9321891153150607,0.3512456027982559,0.007021890234870557,-0.15454292008936327,0.1685867005591044
profile3:surveyyear2006,-0.006894280674254007,0.09200580188935546,-0.07493310783318802,0.9402683874479016,-5.674802671903449e-4,-0.18089885197032704,0.17976389143594637
profile1:surveyyear2010,0.09954575436148885,0.0890794738417586,1.1174937397847975,0.26379139038221805,0.007806312478571294,-0.16678945625127556,0.18240208120841817
profile3:surveyyear2010,0.1616769541091778,0.09365971602466205,1.7262165739068196,0.08431779425138802,0.01277045114994289,-0.17080259225839475,0.1963434945582805
profile1:surveyyear2014,0.26810959580307353,0.10557159735285435,2.539599688986089,0.011102477825513211,0.016039804820973114,-0.1908805259906214,0.22296013563256764
profile3:surveyyear2014,0.4092974968807608,0.1000083567184678,4.092632958993304,4.275134843209224e-5,0.028551342305144105,-0.16746503686305278,0.224567721473341
profile1:surveyyear2018,0.5176303859397391,0.07709596476865352,6.714104784770819,1.922796605581848e-11,0.052847694164091345,-0.09826039678246953,0.20395578511065224
profile3:surveyyear2018,0.4069485278471181,0.08596382838297173,4.733950726742285,2.211017519142518e-6,0.0378424663436428,-0.13064663728698178,0.20633156997426738
