term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3368703257487412,0.023301938085158107,14.456751387701384,3.180969092642918e-47,0.3368703257487412,0.2911985271018313,0.3825421243956511
profile1,-0.5240280587723802,0.057113391775023566,-9.175222176203246,4.763379591983613e-20,-0.10049728552956144,-0.21243953340860763,0.01144496234948475
profile3,-0.41963034007103067,0.06499932813776378,-6.455918116286356,1.0907257835080166e-10,-0.07580285760971041,-0.2032015407597274,0.0515958255403066
surveyyear2006,-0.1724283385380331,0.02346701657363772,-7.347688957263316,2.0637814947826647e-13,-0.057005871222614225,-0.10300122370694416,-0.011010518738284292
surveyyear2010,-0.09935904101877803,0.022631908529490208,-4.390219273346283,1.1359172758540677e-5,-0.03476132705917555,-0.07911986777697635,0.009597213658625259
surveyyear2014,-0.16160007709726282,0.022540150917436486,-7.169431903503943,7.690687339141479e-13,-0.05800285813862661,-0.10218155393680212,-0.013824162340451092
surveyyear2018,-0.05427088349210597,0.019383991484521315,-2.799778545891483,0.005116769362668818,-0.027181197093575787,-0.06517382040323756,0.010811426216085992
age,-0.15947058293751404,0.0054361400122661385,-29.335260419651384,9.818947583592423e-187,-0.15982815118173838,-0.17048298560578,-0.14917331675769674
sex,-0.1402167022060097,0.010574568941136368,-13.2598031169431,5.02586622347309e-40,-0.07033421080635234,-0.09106036593097962,-0.04960805568172506
fas,0.1315883074836111,0.0056233581501722845,23.400307070887813,4.1426454145103584e-120,0.1304403780898218,0.11941859611548414,0.1414621600641595
profile1:surveyyear2006,0.09167702383410274,0.08261261580441868,1.109721837777702,0.2671270822536105,0.008372262665525584,-0.15354846431113506,0.1702929896421862
profile3:surveyyear2006,0.17413430272778305,0.09246194129320823,1.8833078809753916,0.059667536093770505,0.014383767508278762,-0.16684163742640934,0.19560917244296688
profile1:surveyyear2010,-0.08290569593254098,0.08970444800991989,-0.924209420734331,0.35538412144543874,-0.006455354563532639,-0.1822760726629756,0.16936536353591033
profile3:surveyyear2010,-0.10429577523823436,0.0946408344175988,-1.102016649367582,0.27046255624679866,-0.008181780412490871,-0.1936778158709845,0.17731425504600276
profile1:surveyyear2014,-0.0637444703049873,0.10749882510549354,-0.5929782975993637,0.5531997832616615,-0.003737911416426389,-0.2144356086231937,0.20695978579034094
profile3:surveyyear2014,-0.2929115660123889,0.10083167068040828,-2.9049559928525706,0.0036755114116022226,-0.02038616452894659,-0.21801623906254683,0.17724391000465364
profile1:surveyyear2018,-0.1563157882276529,0.07685589303548142,-2.0338816199232492,0.04197159966583771,-0.016121541685657752,-0.1667590920352013,0.13451600866388583
profile3:surveyyear2018,-0.18944515304799983,0.0866280941540005,-2.1868789207254102,0.028758434239164098,-0.017581208945329378,-0.18737227348717037,0.1522098555965116
